Ranking,Algoritmo,F1-Score,Accuracy,Precision,Recall,MAE
1,SVM,0.8848 ± 0.1052,0.8889 ± 0.0994,0.9000 ± 0.1070,0.8889 ± 0.0994,0.2333 ± 0.1444
2,Random Forest,0.8635 ± 0.0849,0.8667 ± 0.0831,0.8861 ± 0.0891,0.8667 ± 0.0831,0.3111 ± 0.2037
3,k-NN,0.8487 ± 0.1300,0.8556 ± 0.1222,0.8756 ± 0.1304,0.8556 ± 0.1222,0.3000 ± 0.1991
4,Árbol de Decisión,0.8256 ± 0.0945,0.8333 ± 0.0896,0.8622 ± 0.0913,0.8333 ± 0.0896,0.3556 ± 0.2846
5,Naive Bayes,0.7767 ± 0.1137,0.7889 ± 0.1048,0.8239 ± 0.1043,0.7889 ± 0.1048,0.3889 ± 0.2064
6,MLP,0.7306 ± 0.1654,0.7556 ± 0.1388,0.7406 ± 0.1913,0.7556 ± 0.1388,0.4556 ± 0.2354
