Ranking,Algoritmo,F1-Score,Accuracy,Precision,Recall,MAE
1,SVM,0.9799 ± 0.0428,0.9800 ± 0.0427,0.9811 ± 0.0416,0.9800 ± 0.0427,0.0333 ± 0.0447
2,k-NN,0.9665 ± 0.0449,0.9667 ± 0.0447,0.9700 ± 0.0425,0.9667 ± 0.0447,0.0333 ± 0.0447
3,Random Forest,0.9596 ± 0.0330,0.9600 ± 0.0327,0.9667 ± 0.0272,0.9600 ± 0.0327,0.0533 ± 0.0581
4,Árbol de Decisión,0.9596 ± 0.0330,0.9600 ± 0.0327,0.9667 ± 0.0272,0.9600 ± 0.0327,0.0600 ± 0.0554
5,Naive Bayes,0.9524 ± 0.0440,0.9533 ± 0.0427,0.9627 ± 0.0325,0.9533 ± 0.0427,0.0467 ± 0.0521
6,MLP,0.8981 ± 0.0772,0.9000 ± 0.0745,0.9084 ± 0.0723,0.9000 ± 0.0745,0.1067 ± 0.0800
