Ranking,Algoritmo,F1-Score,F1_std,Accuracy,Precision,Recall,MAE
1,SVM,0.8847619047619046,0.10515606465624516,0.8888888888888887,0.9,0.8888888888888887,0.2333333333333333
2,Random Forest,0.8634920634920634,0.08486350251407798,0.8666666666666666,0.8861111111111111,0.8666666666666666,0.3111111111111111
3,k-NN,0.8486507936507938,0.12995146583208397,0.8555555555555555,0.8755555555555556,0.8555555555555555,0.3
4,Árbol de Decisión,0.8255555555555556,0.09447365161292527,0.8333333333333334,0.8622222222222222,0.8333333333333334,0.3555555555555555
5,Naive Bayes,0.7767460317460317,0.11369614795126931,0.788888888888889,0.8238888888888889,0.7888888888888888,0.38888888888888895
6,MLP,0.7305555555555555,0.16536462304190666,0.7555555555555554,0.7405555555555555,0.7555555555555554,0.45555555555555555
