Ranking,Algoritmo,F1-Score,F1_std,Accuracy,Precision,Recall,MAE
1,SVM,0.97993265993266,0.04276152601739074,0.9800000000000001,0.9811111111111112,0.9800000000000001,0.03333333333333334
2,k-NN,0.9664646464646465,0.04487274497783783,0.9666666666666666,0.9700000000000001,0.9666666666666666,0.03333333333333333
3,Random Forest,0.9595959595959596,0.0329897608455647,0.96,0.9666666666666668,0.96,0.05333333333333333
4,Árbol de Decisión,0.9595959595959596,0.0329897608455647,0.96,0.9666666666666668,0.96,0.06
5,Naive Bayes,0.9524410774410775,0.04398299177404626,0.9533333333333334,0.9626984126984126,0.9533333333333334,0.04666666666666667
6,MLP,0.8981313131313131,0.07721121096179788,0.9,0.9084126984126983,0.9,0.10666666666666666
